Austere Acolyte | Сувора Послушниця
Sanatorium | Санаторій
Emergence | Явлення
Pentecost apes | мавпи П'ятидесятниці
Department of Menace Eradication | Департамент Викорінення Загроз
Rat Star | Щуряча Зірка
sorrow-spiders | павуки скорботи
the Gracious | Милостивий
the Interior | Внутрішні Землі
Royal Bethlehem | Королівський Бетлем
Salvager | Рятувальниця
Zong of the Zee | Мор-Пісня
Cabinet (Study furniture) | Шафа
Aquarium (Study furniture) | Акваріум
Shrine (Study furniture) | Вівтар
Almanac (Study furniture) | Альманах
Trophy-Case (Study furniture) | Вітрина Трофеїв
Study (room) | Кабінет
Gazetteer | Довідник
Curiosities | Курйози
Mirror-Marches | Дзеркальні Пограниччя
College Assassins | Асасини Коледжу
Crimson Beast of Winter | Багряний Звір Зими
spider-council | Рада Павуків
Penstock | Пенсток
the Mountain | Гора
