the Maw | Паща
the Travel-Writer | Мандрівний Письменник
the White-and-Golds | Біло-Золоті
the Leopard | Леопард
the Vault (тут: гробниця Першого Імператора) | Крипта
Aestival | Естіваль
Codex | Кодекс
the Sculptress | Скульпторка
the Anxious Student | Тривожний Студент
Captain Harris | Капітан Харріс
the Ogedei (назва корабля) | «Огедей»
Soothe and Cooper's Heartsease Tonic | Тонік «Серцевтіха» від Сута і Купера
the anarchs | анархи
the Shadow (скорочення від Khan's Shadow) | Тінь
the High Exarch | Верховний Екзарх
the Trespassers | Порушники
jilly (jilly-stung) | джилі
the Chief Geometer | Головний Геометр
the Mountain (у Пресвітеріаті) | Гора
the People Before | Попередній Народ
the God of Flood | Бог Повені
Zalt (мор-спотворене Salt/Сіль) | Зіль
Heartscross House | Будинок Серцехрест
Her Majesty's Foreign Office | Міністерство закордонних справ Її Величності
