Urbane Devil | Світський Диявол
Excruciation Annex | Флігель Мук
Rat-Skin Suits | Костюми з Щурячої Шкіри
Rat Star | Щуряча Зірка
the Pigs of Cavy | Свині Кавії
the House of Cavy | Дім Кавії
the Cannoneer | Канонір
heartmetal | серцеметал
the Seal (полонена істота-зброя) | Тюлень
cablemen (Схованка) | канатники
nevercold brass | непростигла латунь
the Snow Child | Сніжна Дитина
the Set (Пірат-Поет і Модистка) | Компанія
Irrepressible (назва зуба) | «Невгамовний»
sorrow-spiders | скорботні павуки
Thalattes | Талатти
Behemoustaches | Бегемовуси
Beloveds (істота) | Улюблені
the Factor | Фактор
bolegus-frond | пагін болегусу
false-stars | несправжні зорі
Mr. Wines | Пан Вайнс
Desert of Eyes | Пустеля Очей
Listening Desert | Слухаюча Пустеля
Desert of Delights | Пустеля Насолод
