Postal Rat | Поштовий Щур
the Grand Sanatorium | Великий Санаторій
the Change | Зміна
the Eater of Names | Пожирач Імен
gant-source | гантове джерело
Searing Enigmas | Пекучі Загадки
bolegus | болегус
the Steward | Управитель
the Birth | Народження
sorrow-spiders | скорботні павуки
the Lower Apistic Mysteries | Нижчі Апістичні Містерії
the Lady of the Gardens | Володарка Садів
the Vault | Сховище
Jaffers | Джафферс
Wreckships | Кораблі-мародери
St Eligius | святий Елігій
Nomad (as an entity, standalone) | Кочівник
